Year,Subject,Topic,Question_Number,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer
2018,English,Communication,1,"Secretary: Hello, Mrs. Thomas speaking. Joseph : Hi, can I order two large pizzas, please? Secretary: -- Joseph : I'm really sorry. Bye.","I'm sorry but here is a gym.","How do you like your pizza?","Hold the line, I'll put you through.","I'm sorry but you have called the gym.",D
2018,English,Communication,2,"Robert : Hello, Robert speaking. Sue : Hi, Robert, it's me Sue. Do you have any plans for tonight? Robert : Sorry, Sue. I'm at the office now. Can we talk after work? Sue : OK, no problem. - - - -","Thanks for calling","One moment, please","I will call you back later again","I'm not available at the moment",C
2018,English,Communication,3,"Tom : Hello, Tom speaking. Cathy : Hi, Tom, it's me Cathy. - - - -? Tom : Great. Thanks. Cathy : Are you at home tonight? Tom : Yeah. Why don't you come over here tonight?","What is your plan for tonight","Are you free tonight","When is the party","How is it going",D
2018,English,Communication,4,"Eric : Why don't you answer my voicemails, Jill? Jill : I'm sorry but ---- Eric : Then, I will send text messages to keep in touch with you.","I never send text messages","I prefer using text messages","I use voicemails to keep in touch","I never check my voicemails",D
2018,English,Communication,5,"Tom : We are having a party tonight. Would you like to join us? Robin : I'm sorry but I can't. I don't feel well today. Tom : That's so bad. ---- . Robin : Thanks.","I hope you enjoy it","I hope you feel better soon","I'm sorry, I'm not available now","I prefer face-to-face communication",B
2018,English,Communication,6,"Michael : There is a great match tonight. Why don't we go and watch it at the stadium together? Edward : I'm afraid, I'm not available tonight. Michael : OK, no problem.","My grandparents are going to visit me tonight","I'm planning to buy two tickets for the match","My team is going to win the match","I'm really into football matches",A
2018,English,Communication,7,"Carol :----? Kaan : Almost everyday. Because I often use my mobile phone to keep in touch with friends.","What is your favorite social network","Do you often watch movies at home","How often do you send text messages","Do you prefer sending emails to text messages",C
2018,English,Communication,8,"Jack : Don't forget to buy some meat and bread. You know ----.","my friends often use abbreviations in text messages","we are going to have lunch at a restaurant together","I often send emails to keep in touch with friends","we are going to have dinner with friends tonight",D
2018,English,Communication,9,"I. Could I ask who's calling? II. Hello, Peter, is Mark there? III. I'm sorry, this is his friend William. IV. Hello, Peter speaking. V. I'm sorry William, but he is not at home now. Karışık olarak verilen cümlelerin anlamlı bir diyalog oluşturacak şekilde sıralandığı seçeneği işaretleyi- niz.","II-IV-I-III - V","IV-II-I-III - V","II-IV-VIII - 1","IV-I-II-V - III",B
2018,English,Communication,10,"You want to hang out with your best friend after school. You invite him but he doesn't accept your invitation because he doesn't feel well today. You want to express your sympathy and concern. What do you say?","I think you are ill today.","I hope you feel better soon.","I hope you have great time.","I think you are available now.",B
2018,English,Communication,11,"Smartphone Q1 ----.","has 16 GB storage","is too big to fit in your pocket","has a screen smaller than 5 inch","is a program to find information on the Net",C
2018,English,Communication,12,"Which one is false about the gadget?","You can take photos with its 16 megapixel camera","You can surf on the Net fast with this phone","It can't recognize your handwriting","It has a touchscreen display",C
